Country/Region,Downloads
Poland,742
United States,629
France,283
Germany,174
India,107
Canada,69
Netherlands,60
United Kingdom,42
China,39
Mexico,38
Malaysia,37
Nigeria,34
Taiwan,29
Spain,26
Brazil,25
Colombia,24
Indonesia,20
Turkey,20
Pakistan,18
"Korea, Republic Of",17
Ecuador,16
Ethiopia,14
Philippines,12
Ghana,11
"Iran, Islamic Republic Of",11
Thailand,11
Egypt,10
Italy,10
Saudi Arabia,10
"Tanzania, United Republic Of",10
South Africa,10
Bangladesh,8
Greece,8
Czech Republic,7
Denmark,7
Croatia,7
Peru,7
Russian Federation,7
United Arab Emirates,6
Australia,6
Switzerland,6
Chile,6
Cameroon,6
Norway,6
Slovenia,6
Austria,5
Algeria,5
Iraq,5
Libya,5
Bulgaria,4
Ireland,4
Japan,4
Lebanon,4
Sweden,4
Singapore,4
Uganda,4
Viet Nam,4
Argentina,3
Benin,3
"Bolivia, Plurinational State Of",3
Hungary,3
New Zealand,3
Romania,3
Serbia,3
Belgium,2
Finland,2
Guatemala,2
Hong Kong,2
Israel,2
Kenya,2
Kazakhstan,2
Liberia,2
Morocco,2
Oman,2
Panama,2
Portugal,2
Rwanda,2
Tunisia,2
Albania,1
Armenia,1
Bosnia & Herzegovina,1
Sri Lanka,1
Luxembourg,1
Nepal,1
Puerto Rico,1
Slovakia,1
Senegal,1
Ukraine,1
"Venezuela, Bolivarian Republic Of",1
Zambia,1
